순위,책이름,저자,출판사,가격 정보
1,"세네카, 오늘을 빼앗기고 있는 당신에게",루키우스 안나이우스 세네카,논픽션,"16,200"
2,오디세이아,하와이 대저택,현대지성,"24,300"
3,원소 원정대: 118개 캐릭터로 마스터하는 주기율표 공략집,호메로스,윌북주니어,"17,820"
4,오뒷세이아,페테르 파울 루벤스,을유문화사,"22,500"
5,싯다르타,박문재,민음사,"7,200"
6,투명한 나선,아게도리도리,북다,"19,800"
7,니체의 초월자,박재현,히읏,"15,210"
8,오디세이아,장홍제,마음이음,"15,120"
9,모순,호메로스,쓰다,"11,700"
10,최상위권의 비밀,김헌,동양북스(동양books),"17,820"
11,그랬다고 적었다,헤르만 헤세,문학동네,"15,300"
12,테오,박병덕,오팬하우스,"18,900"
13,일리아스,히가시노 게이고,마음이음,"15,120"
14,독서의 기술,김선영,라곰,"17,820"
15,공부가 결국 너를 지켜줄 거야,프리드리히 니체,퍼스트펭귄,"17,820"
16,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",김철,이투스북 ,"17,100"
17,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,호메로스,YBM(와이비엠),"19,800"
18,수족관,니콜라 친퀘티,포스터샵,"15,930"
19,일리아스&오디세이아 세트,데시데리아 귀치아르디니,현대지성,"49,500"
20,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,이승수,YBM(와이비엠),"19,800"
21,내면 근력,양귀자,윌북(willbook),"19,800"
22,나는 왜 네 말이 힘들까,김민지,한빛라이프,"19,800"
23,2027 공단기 소방단기 써니 행정법총론 기본서,김애란,공단기(에스티유니타스),"39,600"
24,"돈, 뜨겁게 사랑하고 차갑게 다루어라",앨런 레비,미래의창,"13,500"
25,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북 ,"16,650"
26,안녕이라 그랬어 (집 에디션),김애란,문학동네,"15,120"
27,2027 유휘운 행정법총론 요약노트+기출문제 (요.플.),유휘운,모두공북스,"33,300"
28,급류,정대건,민음사,"12,600"
29,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"19,800"
30,나의 첫 번째 부동산 교과서,강동혁,서삼독,"20,700"
31,"안녕, 피터팬",송희구,이야기장수,"19,800"
32,2027 공단기 소방단기 써니 행정법총론 핵심집약,전경철,공단기(에스티유니타스),"30,600"
33,데미안,박준철,민음사,"7,200"
34,용의자 X의 헌신,헤르만 헤세,재인,"16,920"
35,독하게 돈 공부,전영애,메이븐,"20,700"
36,절창 切創,히가시노 게이고,문학동네,"16,200"
37,2027 이동기 영어 문법 500제 + 핵심문법 44포인트 요약노트,양억관,지금(도서출판),"24,300"
38,너는 원래 괜찮은 사람이야,박소연,터닝페이지,"17,100"
39,수험생을 위한 100일 기도,구병모,생활성서사,"14,400"
40,엄마를 만나러 가는 길 : 사랑스러운 동그라미,(주)이앤미래(이동기),다산어린이,"13,500"
41,타몬 군 지금 어느 쪽?! 13 한정판,윤지영,학산문화사,"12,600"
42,행복할 거야 이래도 되나 싶을 정도로,김종국,부크럼,"16,200"
43,빵충 사육 준수 사항,고먕,안전가옥,"15,120"
44,브람스를 좋아하세요...,김영리,민음사,"9,000"
45,괴테는 모든 것을 말했다 (여름 에디션),시와스 유키,리프,"15,300"
46,만화로 보는 5분 한국사,일홍,빅피시,"16,920"
47,문해내공,김혜영,상상스퀘어,"22,500"
48,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",프랑수아즈 사강,이투스북 ,"19,800"
