no,title,link
0," “톰 홀랜드, 연기 좋네”… 맷 데이먼이 감탄했다가 머쓱해진 이유 ",http://v.daum.net/v/20260813103250282
1, 톰 홀랜드·젠데이아 부부가 점령한 극장가…'호프'는 퇴장 수순 [박스오피스] ,http://v.daum.net/v/20260812091907387
2," ""피터 파커 생일 기념""…600만 돌파 '스파이더맨4', 3주차 굿즈 이벤트 공개 ",http://v.daum.net/v/20260813103040149
3," 톰 홀랜드♥젠데이아, 현실 부부가 극장가도 삼켰다…'스파이더맨+오디세이' 흥행 폭주 [엑's 이슈] ",http://v.daum.net/v/20260811125107264
4, 크리스토퍼 놀란 '오디세이' 예매량 90만장 돌파..예매 대란 난리도 아니야 ,http://v.daum.net/v/20260813090337929
5," ""놀란의 나라 맞네""…'오디세이', 개봉 2주차인데 예매량 90만장 돌파 ",http://v.daum.net/v/20260813102852054
6, '오디세이'·'스파이더맨4' 흥행 질주…나란히 1·2위 [MD박스오피스] ,http://v.daum.net/v/20260813093350238
7," ""이건 무조건 소장각인데?""…'스파이더맨4', 개봉 3주차 주말 굿즈 이벤트 예고 ",http://v.daum.net/v/20260813085250472
8, ‘오디세이’ 놀란·톰 홀랜드가 밝힌 ‘최애’ 한국영화... “‘트로이의 목마’와 관련 있어” ,http://v.daum.net/v/20260811141950969
9," ‘스파이더맨: 브랜드 뉴 데이’, 개봉 3주차 굿즈 이벤트…피터 파커 생일 주간 ",http://v.daum.net/v/20260813091644419
10, ‘오디세이’ 놀란·톰 홀랜드가 밝힌 ‘최애’ 한국영화... “‘트로이의 목마’와 관련 있어” ,http://v.daum.net/v/20260811141950969
11," [정태윤의 별달린다] ""브랜드 뉴 피터"" (스파이더맨4 ★★★☆) ",http://v.daum.net/v/20260813090327918
12," ""이번엔 서울이다""…톰 홀랜드 '스파이더맨4', 서울 에디션 선보인다 ",http://v.daum.net/v/20260811101727765
13, ‘오디세이’ 18m 거인부터 트로이 목마까지…놀란의 ‘아날로그 마법’ ,http://v.daum.net/v/20260813075351836
14," '오디세이', 신작 공세에도 박스오피스 1위…261만 명 돌파 ",http://v.daum.net/v/20260813095449194
15," ""성장부터 응원·공감까지""…'스파이더맨4', 600만 관객 선택 이유 있었네 ",http://v.daum.net/v/20260812133652812
16," 톰 홀랜드♥젠데이아, 잇따른 경사…'스파이더맨4' 600만 돌파→올해 박스 오피스 2위 ",http://v.daum.net/v/20260810165813637
17, ‘스파이더맨4’ 다 죽어가던 MCU 살린 진짜 히어로…‘둠스데이’ 기대 급부상 ,http://v.daum.net/v/20260812073137336
18, '오디세이' 8일 연속 박스오피스 1위…2위는 '스파이더맨4' ,http://v.daum.net/v/20260813082138519
19," ‘스파이더맨: 브랜드 뉴 데이’, 전 세대 사로잡은 이유…성장 통했다 ",http://v.daum.net/v/20260812173639390
20, ‘오디세이’ 흥행 열풍ing… 예매량 80만 돌파 ,http://v.daum.net/v/20260812142507899
21," [시네마Y] 젠데이아, 수요 없는 공급이라고?…2026년 출연작 매출 4조 원 돌파 ",http://v.daum.net/v/20260812110903555
22," 톰 홀랜드, 제대로 날았다…'스파이더맨4', 올해 전 세계 최고 흥행작 등극 ",http://v.daum.net/v/20260811100439075
23, '스파이더맨' 보다가 스무 살의 내가 떠올랐다 ,http://v.daum.net/v/20260812170246799
24," 톰 홀랜드, 스파이더맨 몸 ‘신디’로 만들었다고?…무슨 운동일까 ",http://v.daum.net/v/20260811160537438
25," '유퀴즈' 맷 데이먼 ""'오디세이' IMAX 촬영, 주말마다 망친 필름값 청구서 와"" ",http://v.daum.net/v/20260812114050528
26," '오디세이' 놀런 감독 ""아이맥스서 꼭 안 봐도 돼"" ",http://v.daum.net/v/20260812181951104
27," 둘이 합쳐 25조원…톰 홀랜드·젠데이아 커플, 티켓 파워도 최고 ",http://v.daum.net/v/20260810161308906
28, “스파이더맨 찍으면 사랑에 빠진다?”… 3대째 이어진 ‘커플의 법칙’ ,http://v.daum.net/v/20260813040253651
29, '오디세이' 8일 연속 1위…엄정화 '오케이마담2' 4위 출발 [Nbox] ,http://v.daum.net/v/20260813074551688
